,pdbid,-logKd/Ki,resolution
151,2zg3,2.06,3
152,4u54,2.06,2.41
153,3ao4,2.07,1.95
154,4b0c,2.07,2.7
155,3rxp,2.08,1.6
156,5tyh,2.08,2.1
157,1njj,2.1,2.45
158,2zg1,2.1,2.7
159,4aml,2.1,1.6
160,4cs9,2.1,2.01
161,6r49,2.1,2.21
162,3uf9,2.11,2.68
163,6aao,2.11,1.4
164,1qx1,2.12,1.3
165,2w8w,2.12,2.14
166,3gv9,2.12,1.8
167,6r9u,2.12,1.26
168,1p2g,2.13,2.3
169,6gz9,2.13,3.1
170,6abx,2.14,1.7
171,6dim,2.14,1.81
172,6djd,2.14,1.78
173,1uxb,2.15,1.75
174,3rxg,2.15,1.7
175,4b0j,2.15,2.5
176,4q90,2.15,1.54
177,5cs3,2.15,2.5
178,6fap,2.15,2.7
179,6fi1,2.15,2.7
180,6r9s,2.15,2
181,2ay9,2.16,2.5
182,4tim,2.16,2.4
183,5fe6,2.16,1.77
184,6ghj,2.16,2.26
185,3gqz,2.17,1.8
186,4y3j,2.17,1.31
187,5oxk,2.17,2.38
188,5z5f,2.17,2.1
189,6gmx,2.17,2.53
190,3l7d,2.18,2
191,6g47,2.18,1.5
192,4ahr,2.19,1.9
193,4ahs,2.19,1.75
194,4amx,2.19,2.1
195,4jdf,2.19,1.69
196,4mre,2.19,1.58
197,5nzp,2.19,1.3
198,1w1v,2.2,1.85
199,2vvo,2.2,1.85
200,4eh8,2.2,2.2
201,1x8d,2.21,1.8
202,4g0z,2.21,1.75
203,1icj,2.22,1.9
204,1m0n,2.22,2.2
205,2aac,2.22,1.6
206,4aci,2.22,1.65
207,4uru,2.22,2.83
208,4ury,2.22,2.47
209,4x11,2.22,2.3
210,5fsb,2.22,1.65
211,5hcl,2.22,1.5
212,5jqb,2.22,2.68
213,1ajp,2.23,2.31
214,2igv,2.23,1.67
215,3ao5,2.23,1.8
216,3i3b,2.23,2.2
217,1rdl,2.24,1.7
218,2ay8,2.24,2.2
219,2os9,2.24,1.7
220,5f6v,2.24,1.49
221,5m9w,2.24,1.21
222,5nzo,2.24,1.29
223,1ukt,2.25,2.2
224,1ew8,2.26,2.2
225,3ao1,2.26,1.9
226,4eh9,2.26,2.1
227,4np2,2.26,1.75
228,5v6u,2.26,2.8
229,1hge,2.27,2.6
230,1uto,2.27,1.15
231,4ahu,2.27,1.9
232,4mfe,2.27,2.61
233,1ps3,2.28,1.8
234,2rjs,2.28,2.4
235,3fu0,2.28,1.8
236,3ip8,2.28,1.5
237,2ay1,2.29,2.2
238,4ddk,2.29,1.75
239,4ehv,2.29,1.6
240,5fnj,2.29,1.67
241,1hyv,2.3,1.7
242,1inh,2.3,2.4
243,1jdj,2.3,2.2
244,1n1g,2.3,2.5
245,1o4g,2.3,1.55
246,1uxa,2.3,1.5
247,1w1p,2.3,2.1
248,2ay7,2.3,2.4
249,2hdu,2.3,1.49
250,2xix,2.3,2.4
251,2xlc,2.3,2.7
252,3dyo,2.3,1.8
253,3kgq,2.3,1.7
254,3mhw,2.3,1.45
255,3pcg,2.3,1.96
256,3rv4,2.3,1.98
257,4b6e,2.3,2.46
258,4e3d,2.3,1.6
259,4g0y,2.3,1.65
260,4jsz,2.3,1.9
261,4led,2.3,2.37
262,4wh7,2.3,1.62
263,5enc,2.3,1.59
264,5eni,2.3,1.69
265,5enj,2.3,1.63
266,5g42,2.3,1.72
267,6au2,2.3,1.63
268,6gmq,2.3,2.76
269,1m0o,2.31,2.4
270,4y0a,2.31,1.91
271,5mz8,2.31,2.2
272,2qve,2.32,2
273,5aol,2.32,1.5
274,1z6d,2.34,1.54
275,4iie,2.34,2
276,5elf,2.34,1.55
277,1qi0,2.35,2.1
278,3gtc,2.35,1.9
279,4k3k,2.35,1.85
280,4y3y,2.35,1.35
281,1o4j,2.36,1.7
282,3g2z,2.36,1.5
283,5fsc,2.36,1.95
284,3t0d,2.37,1.93
285,4jck,2.37,1.15
286,6rnt,2.37,1.8
287,3f6e,2.38,1.34
288,4aj2,2.38,1.75
289,6md8,2.38,1.4
290,1f73,2.39,1.95
291,1nwl,2.39,2.4
292,4nyt,2.39,2.25
293,4tya,2.39,2.94
294,2wi1,2.4,2.3
295,3dxg,2.4,1.39
296,3l7b,2.4,2
297,3pcb,2.4,2.19
298,3t2t,2.4,1.9
299,4u5l,2.4,2.53
300,4y38,2.4,1.1
301,4zsm,2.4,1.96
302,1o4r,2.41,1.5
303,2wsx,2.41,3.5
304,4u5s,2.41,2.12
305,6aaq,2.41,1.55
306,4u5o,2.42,2
307,5os3,2.43,1.81
308,6mli,2.43,1.88
309,1o4h,2.44,2.25
310,1oba,2.44,2.45
311,1t4s,2.44,2.8
312,2i2b,2.44,2.1
313,2xiy,2.44,2.2
314,3ked,2.44,2.3
315,3l7c,2.44,1.93
316,3mjl,2.44,1.9
317,4d62,2.44,2.5
318,1gbq,2.46,NMR
319,1o4o,2.46,1.7
320,2aez,2.46,3.05
321,3l79,2.46,1.86
322,4ah9,2.46,1.7
323,4ddm,2.46,1.83
324,4eh6,2.46,2.1
325,4x8u,2.46,2.1
326,5aqh,2.46,2
327,1tok,2.47,1.85
328,1utl,2.47,1.7
329,3rik,2.47,2.48
330,4gne,2.47,1.47
331,4y4j,2.47,1.03
332,5dv4,2.47,1.8
333,5jal,2.47,2.06
334,6fhq,2.47,1.95
335,1gyx,2.48,1.35
336,4u5n,2.48,2.31
337,4ze6,2.48,1.17
338,5mn1,2.48,0.79
339,5mnb,2.48,0.94
340,5mnx,2.48,1.42
341,5mon,2.48,0.94
342,1o4q,2.49,1.7
343,4efk,2.49,1.7
344,4ej2,2.49,2.65
345,4kz7,2.49,1.43
346,6c3n,2.49,2.53
347,1ai4,2.5,2.35
348,3g30,2.51,1.8
349,4ctj,2.51,1.47
350,6dji,2.51,1.75
351,1rq2,2.52,1.86
352,1wdr,2.52,1.35
353,3ad7,2.52,2.2
354,3bf1,2.52,2.3
355,3fq7,2.52,2.15
356,3gr2,2.52,1.8
357,3mfv,2.52,1.9
358,3vdb,2.52,2.05
359,4e3f,2.52,1.5
360,4g0q,2.52,1.8
361,4urz,2.52,2.24
362,5f6d,2.52,1.55
363,5f6u,2.52,1.55
364,4hj2,2.53,2.1
365,1iup,2.54,1.6
366,1il3,2.55,2.8
367,1kf0,2.55,2.5
368,3b3s,2.55,1.18
369,3ovn,2.55,1.95
370,5eif,2.55,1.5
371,5n53,2.55,1.48
372,5os0,2.55,1.74
373,1gwv,2.57,2.5
374,2ria,2.57,1.8
375,2wq4,2.57,1.42
376,3kgp,2.57,2.35
377,5v4q,2.57,2.2
378,6poq,2.57,1.8
379,2ay5,2.59,2.4
380,2jst,2.59,NMR
381,3gvb,2.59,1.8
382,4o3a,2.59,1.8
383,4o3c,2.59,1.5
384,4wef,2.59,2.5
385,5tpb,2.59,2.6
386,1o4p,2.6,1.9
387,2c4v,2.6,2.5
388,2r5a,2.6,2.3
389,3gwv,2.6,2.35
390,3rxf,2.6,1.7
391,4up5,2.6,1.65
392,5g46,2.6,1.76
393,6mia,2.6,1.4
394,1cze,2.62,2.4
395,1w1y,2.62,1.85
396,2kfh,2.62,NMR
397,3f37,2.62,1.54
398,3f38,2.62,1.75
399,3fk1,2.62,1.7
400,3rxl,2.62,1.7
401,4lnf,2.62,2.95
402,4lno,2.62,2.9
403,5foo,2.62,2.1
404,5lvd,2.62,1.25
405,1ajn,2.63,2.36
406,1g5f,2.64,1.8
407,1o4i,2.64,1.75
408,3p1d,2.64,1.86
409,4i8x,2.64,2.23
410,4q7w,2.64,1.45
411,4q8y,2.64,1.45
412,4ufl,2.64,2.4
413,6fhu,2.64,2
414,5ey0,2.65,1.6
415,1il5,2.66,2.8
416,3a1e,2.66,1.95
417,3rxb,2.66,1.7
418,4y2p,2.66,2.05
419,5eld,2.66,1.4
420,3lvw,2.67,2.5
421,6prt,2.67,1.3
422,1hgi,2.68,2.7
423,1o8b,2.68,1.25
424,2q72,2.68,1.7
425,3rxk,2.68,1.6
426,4b3c,2.68,1.9
427,4b3d,2.68,1.59
428,5aqj,2.68,1.96
429,5aqp,2.68,2.08
430,3elc,2.69,2.5
431,4usw,2.69,2.05
432,5k5s,2.69,2.6
433,1br5,2.7,2.5
434,1gym,2.7,2.2
435,1lt5,2.7,1.7
436,1tc1,2.7,1.41
437,1ylv,2.7,2.15
438,2fzc,2.7,2.1
439,2ha4,2.7,2.56
440,2krd,2.7,NMR
441,2ohk,2.7,2.2
442,2ow6,2.7,1.19
443,2uyn,2.7,1.6
444,3bra,2.7,2.3
445,3ftz,2.7,2
446,3fud,2.7,2.2
447,3fuf,2.7,2.6
448,3fuh,2.7,1.8
449,3gk2,2.7,1.98
450,3gsg,2.7,2.1
451,3hvg,2.7,2.26
452,3rqw,2.7,2.91
453,3sl0,2.7,2
454,3zsw,2.7,1.8
455,3zsz,2.7,2
456,3zt1,2.7,1.75
457,4h4b,2.7,2.9
458,4okp,2.7,1.37
459,4old,2.7,1.48
460,4wks,2.7,1.63
461,4ypf,2.7,2.2
462,4yrc,2.7,2.1
463,4yrg,2.7,2.15
464,4yrr,2.7,2.3
465,5aok,2.7,1.35
466,6fty,2.7,1.67
467,6nmb,2.7,2.3
468,4kpz,2.71,2.09
469,6poh,2.71,1.67
470,1pfu,2.72,1.91
471,2rkd,2.72,1.9
472,3p4r,2.72,3.05
473,5fsx,2.72,2
474,6dih,2.72,1.78
475,1dg9,2.74,1.9
476,2qwb,2.74,2
477,2vyt,2.74,1.9
478,4m6u,2.74,1.8
479,4ndu,2.74,1.3
480,5os2,2.74,1.92
481,6a9c,2.74,1.98
482,1rql,2.75,2.4
483,5oyd,2.75,2.1
484,6aan,2.75,1.51
485,1ny2,2.76,2.3
486,4bt5,2.76,1.1
487,5er4,2.76,1.81
488,2bet,2.77,2.2
489,2p3o,2.77,2.76
490,3fcq,2.77,1.75
491,3l0n,2.77,1.74
492,4a4h,2.77,NMR
493,4g5y,2.77,1.8
494,4kz3,2.77,1.67
495,4urv,2.77,2.58
496,4ykk,2.77,1.38
497,5aqn,2.77,2.45
498,5oug,2.77,2.57
499,6er4,2.77,1.3
500,6g24,2.77,2.1
501,2yiv,2.78,1.28
502,3ftw,2.78,1.85
503,4yrt,2.78,2.05
504,5os4,2.78,1.88
505,6aad,2.79,1.44
506,2bge,2.8,1.8
507,2bza,2.8,1.9
508,3zt4,2.8,2.2
509,4kz8,2.8,2.28
510,4urw,2.8,2.76
511,4yw2,2.8,2
512,5fbi,2.8,1.47
513,5fov,2.8,1.74
514,5hki,2.8,2.4
515,5ofw,2.8,1.5
516,5zee,2.8,1.74
517,6rqk,2.8,1.85
518,3djx,2.81,1.69
519,4eh4,2.81,2.5
520,4oyt,2.81,2.4
521,4rrg,2.81,1.93
522,1czc,2.82,2.5
523,1p17,2.82,2.7
524,2a3a,2.82,2.1
525,2rib,2.82,1.8
526,2w6z,2.82,1.9
527,2xj0,2.82,3.1
528,2yc0,2.82,2.15
529,3fue,2.82,2.38
530,3lka,2.82,1.8
531,3ppr,2.82,2.1
532,4dsu,2.82,1.7
533,4k7i,2.82,2.25
534,4pb1,2.82,2.8
535,4z46,2.82,1.85
536,5aip,2.82,2.3
537,6cw4,2.82,NMR
538,6evm,2.82,2
539,6mj7,2.82,1.41
540,6quw,2.82,1.24
541,4yz5,2.83,2.27
542,3fu3,2.84,2
543,3moh,2.84,2.1
544,3zt2,2.84,1.7
545,4cgj,2.84,2.15
546,1il4,2.85,2.6
547,2a29,2.85,NMR
548,2ork,2.85,1.89
549,3atk,2.85,1.74
550,3k3g,2.85,2.4
551,3rxa,2.85,1.7
552,3udh,2.85,1.7
553,4luv,2.85,1.4
554,4mlt,2.85,2
555,4x47,2.85,2
556,4ym2,2.85,2.1
557,5aqo,2.85,2.12
558,5th4,2.85,1.47
559,6jjm,2.85,2.05
560,3qx8,2.86,2.3
561,3zt3,2.86,1.95
562,4ouj,2.86,1.46
563,4pd5,2.86,2.91
564,5z1c,2.86,1.45
565,4fgz,2.87,1.99
566,5thj,2.87,1.5
567,1.00E+34,2.88,1.8
568,2woq,2.88,1.75
569,4a4f,2.88,NMR
570,4ucv,2.88,2.6
571,1cet,2.89,2.05
572,1iih,2.89,2.2
573,1ugp,2.89,1.63
574,2k2r,2.89,NMR
575,2wpb,2.89,2.05
576,2wtx,2.89,2.2
577,3f36,2.89,1.7
578,3g31,2.89,1.7
579,4b35,2.89,1.4
580,4cd8,2.89,1.47
581,4gqq,2.89,1.35
582,4kzb,2.89,1.37
583,4llx,2.89,1.75
584,4u5u,2.89,1.96
585,4urx,2.89,2.49
586,5aes,2.89,2.75
587,5flt,2.89,1.67
588,5ngz,2.89,2.4
589,5orv,2.89,1.88
590,6b7b,2.89,1.98
591,6f6s,2.89,2.29
592,6mvu,2.89,1.49
593,3c2u,2.9,1.3
594,5aom,2.9,1.74
595,5dv2,2.9,2.07
596,1ms0,2.91,2.5
597,2ay4,2.91,2.2
598,2pri,2.91,2.3
599,4kc1,2.91,1.5
600,1eef,2.92,1.8
601,1h2k,2.92,2.15
602,1o4k,2.92,1.57
603,1p6e,2.92,2.3
604,1zp5,2.92,1.8
605,2aa9,2.92,1.5
606,2aay,2.92,1.55
607,2fkf,2.92,2
608,2fw6,2.92,1.85
609,2fwp,2.92,1.85
610,2kfg,2.92,NMR
611,3alt,2.92,2.5
612,3iaf,2.92,2.8
613,3k8c,2.92,2.1
614,4ai5,2.92,2.22
615,4ef6,2.92,1.94
616,4lm3,2.92,1.49
617,4u4s,2.92,1.9
618,4x14,2.92,2.3
619,4y2q,2.92,2.4
620,4zki,2.92,3.4
621,5c0k,2.92,2.2
622,5ct2,2.92,2
623,5x4m,2.92,1.65
624,6fv4,2.92,1.97
625,1tng,2.93,1.8
626,3ftv,2.93,1.7
627,4zv2,2.93,1.43
628,1p6d,2.94,2
629,2vmc,2.94,1.9
630,4y62,2.95,1.6
631,1f4e,2.96,1.9
632,1w1t,2.96,1.9
633,1ykp,2.96,2.41
634,2br6,2.96,1.7
635,2kdh,2.96,NMR
636,2w8j,2.96,1.5
637,3g34,2.96,1.31
638,3imc,2.96,1.6
639,3img,2.96,1.8
640,4bgy,2.96,2.68
641,4dst,2.96,2.3
642,4k3l,2.96,1.5
643,4mrg,2.96,1.69
644,4owm,2.96,1.99
645,5fng,2.96,2.05
646,6r9x,2.96,1.66
647,2hw2,2.97,1.45
648,4ceb,2.97,1.75
649,5flq,2.97,1.7
650,2rnw,2.98,NMR
651,3ckb,2.98,2.3
652,3djq,2.98,1.53
653,4ibc,2.98,1.75
654,5aba,2.98,1.62
655,5aqu,2.98,1.92
656,3ump,2.99,1.85
657,4a4g,2.99,NMR
658,4bps,2.99,1.08
659,1ecq,3,2
660,1hqg,3,2
661,1mcz,3,2.8
662,1ux7,3,1.5
663,1w7h,3,2.21
664,1wbg,3,2.2
665,1wbo,3,2.16
666,1ws4,3,1.9
667,1yc5,3,1.4
668,1z9h,3,2.6
669,1zm7,3,2.2
670,2f1b,3,1.45
671,2h2e,3,2.6
672,2q8h,3,2
673,2r0y,3,1.75
674,2rka,3,1.95
675,2v3u,3,1.74
676,2vin,3,1.9
677,2vtm,3,2.25
678,2wa3,3,2.5
679,2xgm,3,2.55
680,2xgo,3,2.6
681,2xp3,3,2
682,2ych,3,2.2
683,3ap7,3,1.53
684,3d9o,3,2
685,3eka,3,3.1
686,3grj,3,2.49
687,3ime,3,2.39
688,3nf8,3,1.9
689,3nk8,3,1.15
690,3ob0,3,2.85
691,4b2i,3,1.3
692,4fe9,3,2
693,4k0o,3,2.15
694,4k5z,3,1.8
695,4k64,3,2.6
696,4k72,3,1.9
697,4l51,3,1.9
698,4l5j,3,2.6
699,4lkh,3,3.1
700,4llk,3,1.55
701,4m5r,3,1.4
702,4o7d,3,2.3
703,4oyp,3,2.28
704,4oz2,3,2.1
705,4r3w,3,1.91
706,4txs,3,2.78
707,4u0w,3,2
708,4wh9,3,1.5
709,5a5o,3,2.04
710,5aqr,3,1.91
711,5c7b,3,2.68
712,5ehw,3,1.39
713,5fnq,3,1.91
714,5jah,3,2.06
715,5l97,3,2.05
716,5lz2,3,2.1
717,5tpc,3,2
718,5u66,3,1.7
719,5ye8,3,1.85
720,6fh6,3,2.08
721,6fh7,3,2.1
722,6ftz,3,1.67
723,6gjy,3,1.29
724,6n17,3,1.64
725,6quv,3,1.48
726,1g42,3.01,1.8
727,1utm,3.01,1.5
728,4g0p,3.01,1.8
729,5-Jan,3.01,2.12
730,2vmd,3.02,1.9
731,3dc2,3.02,2.7
732,3fuk,3.02,1.95
733,4q81,3.02,1.55
734,4xm8,3.02,2.7
735,5z4h,3.02,2
736,6f6n,3.02,2.15
737,6n19,3.02,1.5
738,1ogd,3.03,1.95
739,1ws5,3.03,1.9
740,2ggu,3.03,1.9
741,2ha3,3.03,2.25
742,3adv,3.03,2.27
743,3esj,3.03,2.7
744,4lm2,3.03,1.55
745,4qp2,3.03,2.23
746,5aoi,3.03,1.78
747,1rtf,3.04,2.3
748,2pcu,3.04,1.6
749,3ay0,3.04,3.05
750,3t08,3.04,2
751,3t1m,3.04,1.55
752,3zvv,3.04,2.5
753,4i7k,3.04,1.72
754,4lm4,3.04,1.48
755,5fls,3.04,1.67
756,1f74,3.05,1.6
757,1gvk,3.05,0.94
758,1gzg,3.05,1.66
759,1o41,3.05,1.7
760,1pum,3.05,2.3
761,1uj5,3.05,2
762,1uj6,3.05,1.74
763,2ohl,3.05,2.65
764,2vcw,3.05,1.95
765,4g5f,3.05,2.33
766,4guj,3.05,1.5
767,4u5v,3.05,1.97
768,5abe,3.05,2
769,5ort,3.05,2.56
770,6ncn,3.05,1.82
771,2jfh,3.06,1.97
772,2ksa,3.06,NMR
773,3atm,3.06,1.72
774,3hw1,3.06,2.48
775,3rxi,3.06,1.6
776,3rxj,3.06,1.7
777,4csy,3.06,2.41
778,4nyi,3.06,2.96
779,1rnm,3.07,2
780,1s26,3.07,3
781,3mof,3.07,1.75
782,4yrs,3.07,2.75
783,6fh3,3.07,1.85
784,1hiy,3.08,2.6
785,1y1z,3.08,1.5
786,4yv1,3.08,1.85
787,5ehv,3.08,1.21
788,6ew6,3.08,1.39
789,1mdl,3.09,1.85
790,1ugw,3.09,1.7
791,4eh5,3.09,2
792,6pml,3.09,2
793,1a5v,3.1,1.9
794,1af2,3.1,2.3
795,1ec9,3.1,2
796,1pu7,3.1,1.93
797,1pu8,3.1,2.13
798,1swi,3.1,2.6
799,2xdl,3.1,1.98
800,3buf,3.1,2.3
801,3f78,3.1,1.6
802,3mo8,3.1,1.69
803,4cjr,3.1,1.8
804,4j79,3.1,1.56
805,4kz6,3.1,1.68
806,4pl6,3.1,1.68
807,4pxf,3.1,2.75
808,4y2j,3.1,2.15
809,4y64,3.1,1.6
810,5aqq,3.1,2.72
811,5cr7,3.1,2.9
812,5eh8,3.1,1.38
813,5ggo,3.1,1.5
814,5lzg,3.1,1.13
815,5lzh,3.1,1.13
816,5orw,3.1,2
817,1k2i,3.11,1.8
818,1uod,3.11,1.9
819,2ay6,3.11,2.2
820,2lto,3.11,NMR
821,2lwi,3.11,NMR
822,3c2r,3.11,2.4
823,3msj,3.11,1.8
824,4aj1,3.11,1.87
825,4ajk,3.11,2.03
826,4d52,3.11,1.76
827,4gbz,3.11,2.89
828,4wf4,3.11,1.7
829,5enb,3.11,1.73
830,1h9l,3.12,1.67
831,2ksb,3.12,NMR
832,4bt3,3.12,1.1
833,4cgi,3.12,2.07
834,4uct,3.12,2.1
835,5ey4,3.12,1.86
836,1ax0,3.13,1.9
837,3kac,3.13,2
838,5c5t,3.13,1.6
839,6d1k,3.13,1.2
840,6dhu,3.13,1.63
841,6die,3.13,1.78
842,6qhg,3.13,1.48
843,2f1a,3.14,1.45
844,2ya7,3.14,1.89
845,3odk,3.14,2.3
846,4b34,3.14,1.55
847,6cea,3.14,1.6
848,6g27,3.14,1.65
849,1e6q,3.15,1.35
850,1eei,3.15,2
851,1k9q,3.15,NMR
852,1noi,3.15,2.5
853,1noj,3.15,2.4
854,1nok,3.15,2.4
855,1rin,3.15,2.6
856,2fr8,3.15,2.6
857,2p8n,3.15,1.94
858,3cgy,3.15,2.6
859,3.00E+73,3.15,2.8
860,4de5,3.15,2.25
861,4fzj,3.15,1.63
862,4lw1,3.15,1.63
863,4x0z,3.15,1.85
864,5e5g,3.15,1.95
865,5flo,3.15,1.66
866,5fnf,3.15,2.1
867,6a87,3.15,2.41
868,6cc9,3.15,NMR
869,6ccx,3.15,NMR
870,6cyh,3.15,1.49
871,2ymd,3.16,1.96
872,3ad8,3.16,2.2
873,3ecn,3.16,2.1
874,3f34,3.16,1.68
875,3f35,3.16,1.92
876,3kpu,3.16,2.4
877,3lk0,3.16,2.04
878,4eh2,3.16,2
879,4pli,3.16,1.65
880,5n1x,3.16,1.72
881,4hnc,3.17,1.89
882,4uce,3.17,2.95
883,4x3i,3.17,1.8
884,5fot,3.17,1.19
885,5fox,3.17,1.3
886,5ose,3.17,1.9
887,6cv8,3.17,NMR
888,1b9s,3.18,2.5
889,1lbk,3.18,1.86
890,1ro7,3.18,1.8
891,2wik,3.18,2.1
892,3at1,3.18,2.8
893,3bug,3.18,2.5
894,3kid,3.18,2.71
895,1o6i,3.19,1.7
896,2zdx,3.19,2.54
897,3dxh,3.19,1.4
898,3g1v,3.19,1.3
899,4gzx,3.19,2.45
900,4mlx,3.19,1.65
901,6dyn,3.19,2.1
902,6f6i,3.19,2.4
903,6pvy,3.19,1.74
904,6ssy,3.19,1.62
905,1axz,3.2,1.95
906,2nd0,3.2,NMR
907,2w0x,3.2,2.12
908,2wij,3.2,2.1
909,3kab,3.2,2.19
910,4nrm,3.2,2.17
911,5cs6,3.2,1.88
912,5d9p,3.2,1.8
913,5flp,3.2,1.71
914,5ijr,3.2,1.52
915,1s5z,3.21,2
916,3fty,3.21,2.15
917,5mwo,3.21,1.96
918,5osd,3.21,1.99
919,6tim,3.21,2.2
920,1br6,3.22,2.3
921,1e6s,3.22,1.35
922,1.00E+72,3.22,1.6
923,1evh,3.22,1.8
924,1ew9,3.22,2
925,1k1y,3.22,2.4
926,1q5l,3.22,NMR
927,1qwu,3.22,2.03
928,1tog,3.22,2.31
929,1x6u,3.22,2.7
930,1zc9,3.22,2
931,2bv4,3.22,1
932,2ri9,3.22,1.95
933,2uy3,3.22,1.9
934,3aru,3.22,1.9
935,3i8t,3.22,2.1
936,4n5d,3.22,2.06
937,4tyl,3.22,1.85
938,4wn0,3.22,2.2
939,5go2,3.22,1.91
940,5n1y,3.22,1.39
941,5ou2,3.22,1.45
942,1px4,3.23,1.6
943,2gmk,3.23,1.65
944,3zsy,3.23,2.2
945,4kc4,3.23,1.6
946,4lm1,3.23,1.6
947,4unp,3.23,2.3
948,5ene,3.23,1.49
949,5qay,3.23,1.7
950,2r8q,3.24,1.5
951,3qfz,3.24,2.39
952,4b2l,3.24,1.5
953,4k60,3.24,1.5
954,4luo,3.24,1.54
955,4qlk,3.24,1.83
956,4y2u,3.24,2.75
957,5o0a,3.24,1.81
958,6er3,3.24,1.37
959,6g9b,3.24,2.26
960,1v2j,3.25,1.9
961,2ndo,3.25,NMR
962,3ta1,3.25,1.9
963,4lm0,3.25,1.66
964,4zij,3.25,1.78
965,5oxl,3.25,2.66
966,1l5s,3.26,2.1
967,3t1l,3.26,1.6
968,4egh,3.26,1.6
969,4k66,3.26,3
